rsi,cycle,band,atr,obv,accdist,label
0,-88.3461,0,0,0,0,false
47.18,-3.3121,192.6536,0.4677,0,0,false
47.36,-2.1956,192.6396,0.4545,0,0,false
47.52,0.255,191.1225,0.366,0,0,false
48.4,0.0953,191.198,0.3473,0,0,false
49.02,0.1605,191.3819,0.3094,0,0,false
45.93,0.2047,359.7059,0.3745,0,0,true
50.15,0.0366,191.5101,0.2659,0,0,false
47.9,0.048,359.7308,0.3605,0,0,false
47.93,0.1248,359.726,0.3673,0,0,false
51.33,0.1472,359.7232,0.3287,-290042,-136783.78,false
44.86,0.1561,95.6574,0.2407,-6589448,-3124270.2,false
50.24,0.1801,191.5974,0.2197,-135059,-361270.47,false
55.41,0.1969,359.7011,0.3437,-234713,-113855.64,false
46.19,0.2213,95.6338,0.2378,-3486520,-621849.3,false
57.57,0.2266,359.6342,0.3491,-214552,-110648.75,false
58.99,0.1799,359.6433,0.3519,-153052,-77988.06,false
51.67,0.0673,191.6506,0.2023,-269106,-397454.75,false
54.74,0.0811,191.6457,0.208,-283058,-409038.8,false
62.04,0.0073,359.5737,0.3522,-187800,-93329.86,false
48.89,-0.0125,95.5859,0.2317,-6501812,-2749594.2,false
46.89,0.0896,95.7973,0.1676,-7853878,-3816072.2,true
56.39,0.0431,95.7909,0.1761,-2982347,-1251135.5,false
52.89,0.1026,191.1761,0.1828,35725,-325967.12,false
52.55,0.0434,359.7304,0.2643,207212,192141.44,false
59.2,0.2065,359.7283,0.2665,199306,180456.3,false
61.44,0.2735,359.6694,0.2875,256417,210757.28,false
54.34,0.0516,191.2637,0.2332,407425,-129344.4,false
55.75,0.0072,95.844,0.1735,2201778,3051588.5,false
62.68,-0.0636,359.557,0.3402,264423,212959.55,false
60.48,0.0728,95.8789,0.1821,2070133,4177436,false
39.97,0.0664,189.8713,0.2162,-442079,-502227.88,false
45.02,0.105,189.8692,0.2173,-368408,-395976.28,false
50.65,0.0364,95.744,0.1218,527108,1143886.2,true
39.41,0.2133,358.3099,0.2634,101171,136415.08,false
55.21,0.0221,95.7617,0.1126,-956194,1735431.6,false
53.26,0.0452,189.9249,0.1562,-745560,-466393.06,true
43.95,0.1638,357.855,0.2984,-181221,104762.11,true
57.21,-0.0236,95.745,0.1307,-1454279,1360774,false
59.23,0.0916,189.9005,0.1612,-655243,-396785.84,true
60.46,0.0659,95.7186,0.1321,-533495,2078074.9,false
61.3,0.1229,189.8778,0.1564,-554515,-405402.22,true
65.36,0.1023,189.8271,0.1466,-428736,-312044.12,true
66.56,-0.0062,189.9248,0.1774,-569327,-369482.1,true
62.52,0.027,95.7788,0.135,-537454,1960358.9,false
66.23,-0.0193,189.983,0.1735,-595235,-354606.75,true
68.03,-0.0038,190.005,0.1727,-531927,-320512.2,true
70.01,0.0224,190.0478,0.1723,-387411,-273665.88,false
62.25,0.0381,190.5835,0.1839,-356712,-222759.3,false
51.25,0.0305,358.0398,0.2645,-318698,1362.63,true
62.23,0.0364,190.7016,0.1935,-272590,-178775.94,false
62.27,0.0372,190.8293,0.1886,-312553,-91510.41,false
66.56,0.14,190.8008,0.1907,-125140,75255.58,false
57.21,0.1456,358.0055,0.2407,-167068,63938.91,true
69.15,0.1729,190.7547,0.1914,-65160,90290.34,false
61.28,0.1562,357.9646,0.242,-172292,55909.95,false
53.24,0.0697,95.7941,0.114,-312572,2348278.5,false
64.22,-0.0247,357.9679,0.256,-233301,33763.55,false
65.56,0.0779,357.9369,0.2371,-236592,42077.67,false
68.68,0.0993,357.9364,0.2399,-230417,45938.25,false
57.89,0.0077,95.822,0.1062,-420765,2268539.2,false
61.52,0.0331,95.8088,0.1091,-435310,2220954,false
65.46,0.0351,95.7714,0.1118,-373108,2530134,false
68.37,0.0268,95.7477,0.1096,127248,2841731.5,false
75.45,-0.0319,357.9009,0.267,-46989,135003.95,false
61.24,0.1846,358.3681,0.253,-21944,64798.06,false
36.07,0.077,95.0765,0.1379,-3549350,-856505.75,false
38.2,0.1226,95.0658,0.1357,-2908820,-722555.7,false
47.62,0.038,190.0786,0.1534,-497634,-115359.34,false
56.83,0.1194,190.1178,0.1612,-490667,-108392.34,false
57.09,0.0294,358.159,0.2337,-87594,139389.11,false
58.42,0.089,190.0937,0.1569,-392786,-59361.84,false
62.54,0.0386,190.061,0.156,-385020,-26017.49,false
51.72,0.021,95.2019,0.107,-2996960,803734,false
58.46,0.0767,190.1316,0.1809,-404856,-92634.74,false
58.12,0.0973,358.2659,0.2473,-41983,123329.35,false
54.46,0.0435,95.2529,0.1271,-1373521,904768.25,false
61.04,0.0054,190.3042,0.1731,-429380,-119145.02,false
50.99,0.0936,190.3068,0.1762,-452018,60792.96,false
53.38,0.0368,95.0805,0.1118,550113,2064846.9,true
58.71,0.0075,95.0628,0.1135,705289,2081876,true
63.11,-0.0295,95.016,0.1271,-66508,1835354.8,false
55.12,0.0812,190.2726,0.1551,-124452,117236.1,false
65.09,0.0105,94.9953,0.1293,6309,1660693.6,false
57.5,0.0119,190.2555,0.1603,22934,194721.47,false
50.87,0.0673,356.9706,0.2645,-232164,20555.15,false
65.86,-0.0195,95.006,0.1268,258641,1641738.6,false
56.02,0.1354,356.9605,0.2669,-206682,16064.41,false
68.66,0.0135,95.0364,0.1228,620917,1607589,false
57.15,0.0694,95.3017,0.1026,-123364,1799314,false
58.37,0.0872,95.3059,0.1001,-241538,1849137.1,false
60.1,0.056,190.4085,0.134,31161,110249.25,false
61.14,0.0676,95.3091,0.1051,278292,2150884.2,false
65.02,0.0725,190.4794,0.1304,39588,102550.35,false
61.06,0.0956,357.0409,0.212,-247780,33663.97,false
66.22,0.0601,95.3182,0.1091,457834,2123322.2,false
