rsi,cycle,band,atr,obv,accdist,label
0,-91.9413,0,0,0,0,false
0,-81.979,0,0,0,0,false
0,-132.4865,0,0,0,0,false
0,-249.4881,0,0,0,0,false
0,-68.3787,0,0,0,0,false
0,-199.6059,0,0,0,0,false
47.61,-25.4407,0,0.6642,0,0,false
25.81,-6.9004,0,0.4912,0,0,false
47.32,-18.4105,0,0.6114,0,0,false
25.6,-4.9673,0,0.4648,0,0,false
46.36,-6.9816,0,0.4591,0,0,true
47.26,-13.1996,0,0.6212,0,0,false
25.48,-3.6212,0,0.4512,0,0,true
46.87,-4.9337,0,0.4827,0,0,false
47,-1.743,362.0194,0.537,0,0,false
46.5,-0.7524,192.6688,0.355,0,0,false
47.11,-1.2803,362.052,0.5201,0,0,false
26.27,-0.3753,97.3356,0.3423,0,0,false
46.71,-0.4823,192.6646,0.3329,0,0,false
46.93,-0.849,361.9612,0.4944,0,0,false
26.14,-0.2589,97.2712,0.3316,0,0,false
46.56,-0.5804,361.8302,0.4915,0,0,false
25.82,-0.2213,97.1392,0.337,0,0,false
45.9,-0.492,361.6292,0.4849,0,0,false
25.61,-0.2025,96.9895,0.3364,0,0,false
46.31,-0.1298,192.6639,0.3157,0,0,false
45.51,-0.4423,361.4074,0.4877,0,0,false
25.72,-0.1354,96.871,0.3257,0,0,false
45.66,-0.1665,192.5693,0.3257,0,0,false
44.96,-0.352,361.1562,0.4816,0,0,false
25.56,-0.0376,96.7609,0.3072,0,0,false
44.57,-0.2911,192.3385,0.3507,0,0,false
44.23,-0.2814,360.8646,0.4664,0,0,false
25.26,-0.0139,96.6348,0.3107,0,0,false
44.23,-0.3366,192.1283,0.3486,0,0,false
25.58,-0.0096,96.5549,0.2986,0,0,false
44.53,-0.1916,191.9753,0.3179,0,0,false
44.41,0.0336,360.5108,0.3994,0,0,false
25.32,0.0256,96.4484,0.2755,0,0,false
43.52,-0.047,191.7478,0.3239,0,0,true
43.99,0.0764,360.3406,0.3818,0,0,false
24.99,0.0098,96.3328,0.2741,0,0,true
43.99,0.0968,191.4687,0.3192,0,0,false
44.3,0.0919,360.0258,0.3709,0,0,false
43.56,0.1107,191.3161,0.317,0,0,true
43.27,0.1086,359.8328,0.3715,0,0,false
43.72,0.107,191.0984,0.3299,0,0,true
43.49,0.0695,359.6121,0.362,0,0,false
26.22,-0.031,96.0735,0.2423,0,0,false
44.74,0.128,191.0639,0.3413,0,0,true
42.84,0.0538,359.5036,0.3741,0,0,true
43.48,0.0252,359.4811,0.3613,0,0,false
26.37,0.0128,96.0999,0.2267,0,0,false
26,0.017,96.1182,0.231,0,0,false
43.14,-0.0649,359.5832,0.3501,0,0,false
25.46,-0.0126,96.114,0.232,0,0,false
44.88,-0.2105,191.2725,0.3376,0,0,true
41.49,-0.1081,359.6623,0.3555,0,0,true
24.25,-0.056,96.0294,0.2458,0,0,false
44.99,-0.2819,191.3262,0.3279,0,0,true
43.24,-0.0597,359.7034,0.3691,0,0,true
27.36,-0.0692,95.99,0.2544,0,0,false
46.53,-0.0731,191.6613,0.2674,0,0,false
28.77,-0.0175,95.7073,0.2665,0,0,true
44.94,-0.1369,359.7134,0.3718,0,0,true
29.88,-0.1247,95.6761,0.2569,0,0,true
46.65,-0.109,191.8212,0.2517,-182802,-436544.28,false
44.49,-0.0693,191.7894,0.2306,-251433,-519527.3,false
42.59,-0.1047,191.729,0.2228,-128176,-508851.47,true
